farm,season,biomass,plot,trt,paddock,pregraze_g,pregraze_mg_ha,pregraze_tons_acre,postgraze_g,postgraze_mg_ha,postgraze_tons_acre,fifference_mg_ha,perc_grazed,CP,ADF,NDF,RFV
Anderson,Fall 2019,Forage,101,Enclosed,1,75,1.293103448,0.576724138,52,0.896551724,0.399862069,0.396551724,NA,17.7,31.02,58.48,102.9736583
Anderson,Fall 2019,Forage,102,Enclosed,1,70.6,1.217241379,0.542889655,51,0.879310345,0.392172414,0.337931034,NA,21.26,28.02,53.03,117.6559473
Anderson,Fall 2019,Forage,103,Enclosed,1,73.8,1.272413793,0.567496552,51.4,0.886206897,0.395248276,0.386206897,NA,19.08,27.14,53.91,116.9182746
Anderson,Fall 2019,Forage,104,Grazed,1,69.6,1.2,0.5352,16,0.275862069,0.123034483,0.924137931,0.770114943,21.57,28.5,52.3,118.6331095
Anderson,Fall 2019,Forage,105,Grazed,1,110.4,1.903448276,0.848937931,92,1.586206897,0.707448276,0.317241379,0.166666667,22.32,34.45,59.01,97.8367088
Anderson,Fall 2019,Forage,106,Grazed,1,81.6,1.406896552,0.627475862,54,0.931034483,0.415241379,0.475862069,0.338235294,20.03,27.02,53.76,117.40625
Anderson,Fall 2019,Forage,201,Enclosed,2,63,1.086206897,0.484448276,72.2,1.244827586,0.555193103,-0.15862069,NA,24.09,23.78,45.65,143.4073817
Anderson,Fall 2019,Forage,202,Enclosed,2,62.6,1.079310345,0.481372414,61.8,1.065517241,0.47522069,0.013793103,NA,21.96,25.81,48.15,132.9063923
Anderson,Fall 2019,Forage,203,Enclosed,2,57.6,0.993103448,0.442924138,60,1.034482759,0.46137931,-0.04137931,NA,22.78,27.6,50.3,124.6467243
Anderson,Fall 2019,Forage,204,Grazed,2,94,1.620689655,0.722827586,11,0.189655172,0.084586207,1.431034483,0.882978723,21.7,27.48,53.39,117.5955431
Anderson,Fall 2019,Forage,205,Grazed,2,61.8,1.065517241,0.47522069,15.2,0.262068966,0.116882759,0.803448276,0.754045307,18.29,29.02,54.28,113.6114548
Anderson,Fall 2019,Forage,206,Grazed,2,86.8,1.496551724,0.667462069,50,0.862068966,0.384482759,0.634482759,0.423963134,17.81,28.88,57.07,108.2350602
Anderson,Fall 2019,Forage,301,Enclosed,3,63.4,1.093103448,0.487524138,94.2,1.624137931,0.724365517,-0.531034483,NA,18.31,31.12,57.36,104.8579676
Anderson,Fall 2019,Forage,302,Enclosed,3,112.4,1.937931034,0.864317241,79.8,1.375862069,0.613634483,0.562068966,NA,24.42,28.3,51.28,121.2754417
Anderson,Fall 2019,Forage,303,Enclosed,3,50,0.862068966,0.384482759,101.4,1.748275862,0.779731034,-0.886206897,NA,25.74,26.12,49.15,129.7452412
Anderson,Fall 2019,Forage,304,Grazed,3,65.4,1.127586207,0.502903448,15,0.25862069,0.115344828,0.868965517,0.770642202,23.65,26.05,51.95,122.849878
Anderson,Fall 2019,Forage,305,Grazed,3,102.8,1.772413793,0.790496552,13.6,0.234482759,0.10457931,1.537931034,0.86770428,21.43,30.98,56.96,105.7724392
Anderson,Fall 2019,Forage,306,Grazed,3,79.4,1.368965517,0.610558621,18.4,0.317241379,0.141489655,1.051724138,0.768261965,18.91,30.33,55.99,108.4461594
Anderson,Spring 2020,Forage,101,Enclosed,1,70.7,1.218965517,0.543658621,155.9,2.687931034,1.198817241,-1.468965517,-1.205091938,13.37333333,22.78333333,46.34,142.8306116
Anderson,Spring 2020,Forage,102,Enclosed,1,119.6,2.062068966,0.919682759,201.2,3.468965517,1.547158621,-1.406896552,-0.682274247,12.98666667,26.74666667,54.45666667,116.2679892
Anderson,Spring 2020,Forage,103,Enclosed,1,81.4,1.403448276,0.625937931,NA,NA,NA,NA,NA,12.99333333,23.50333333,46.91,139.9828535
Anderson,Spring 2020,Forage,104,Grazed,1,55.4,0.955172414,0.426006897,38.6,0.665517241,0.29682069,0.289655172,0.303249097,12.72,23.86,48.58333333,134.6294978
Anderson,Spring 2020,Forage,105,Grazed,1,98.7,1.701724138,0.758968966,70.5,1.215517241,0.54212069,0.486206897,0.285714286,13.82666667,24.72,46.40666667,139.6012735
Anderson,Spring 2020,Forage,106,Grazed,1,101.6,1.751724138,0.781268966,NA,NA,NA,NA,NA,13.62333333,27.49,52.97,118.5142797
Anderson,Spring 2020,Forage,201,Enclosed,2,144.2,2.486206897,1.108848276,205.5,3.543103448,1.580224138,-1.056896552,-0.425104022,12.25333333,27.05333333,50.55666667,124.797478
Anderson,Spring 2020,Forage,202,Enclosed,2,118.3,2.039655172,0.909686207,164.4,2.834482759,1.26417931,-0.794827586,-0.389687236,12.58666667,25.63333333,50.68,126.5241705
Anderson,Spring 2020,Forage,203,Enclosed,2,124.3,2.143103448,0.955824138,NA,NA,NA,NA,NA,15.00666667,24.08,46.97666667,138.894645
Anderson,Spring 2020,Forage,204,Grazed,2,79.4,1.368965517,0.610558621,89.5,1.543103448,0.688224138,-0.174137931,-0.12720403,13.12,24.63333333,47.88333333,135.4272902
Anderson,Spring 2020,Forage,205,Grazed,2,175,3.017241379,1.345689655,38,0.655172414,0.292206897,2.362068966,0.782857143,15.26666667,26.08333333,49.91666667,127.8057227
Anderson,Spring 2020,Forage,206,Grazed,2,84,1.448275862,0.645931034,NA,NA,NA,NA,NA,12.90333333,23.29333333,46.35,142.0024452
Anderson,Spring 2020,Forage,301,Enclosed,3,149.4,2.575862069,1.148834483,276.2,4.762068966,2.123882759,-2.186206897,-0.848728246,13.34333333,26.21,50.83333333,125.3204605
Anderson,Spring 2020,Forage,302,Enclosed,3,152.3,2.625862069,1.171134483,238.6,4.113793103,1.834751724,-1.487931034,-0.56664478,15.86,25.59666667,47.82666667,134.1281436
Anderson,Spring 2020,Forage,303,Enclosed,3,109.6,1.889655172,0.842786207,NA,NA,NA,NA,NA,15.97666667,25.21,45.81666667,140.6239766
Anderson,Spring 2020,Forage,304,Grazed,3,60.7,1.046551724,0.466762069,43.1,0.743103448,0.331424138,0.303448276,0.289950577,13.77666667,21.72,45.67666667,146.5918073
Anderson,Spring 2020,Forage,305,Grazed,3,128.9,2.222413793,0.991196552,18.7,0.322413793,0.143796552,1.9,0.854926299,14.0575,26.0625,51.2275,124.5648402
Anderson,Spring 2020,Forage,306,Grazed,3,61.1,1.053448276,0.469837931,NA,NA,NA,NA,NA,13.09666667,23.35333333,45.77,143.7069134
Anderson,Fall 2020,Forage,101,Enclosed,1,115.8,1.996551724,0.890462069,99.6,1.717241379,0.765889655,0.279310345,0.139896373,6.926666667,31.41333333,63.13666667,94.92735213
Anderson,Fall 2020,Forage,102,Enclosed,1,109.3,1.884482759,0.84047931,127,2.189655172,0.976586207,-0.305172414,-0.161939616,7.076666667,33.1,68.69666667,85.46516706
Anderson,Fall 2020,Forage,103,Enclosed,1,98.5,1.698275862,0.757431034,89.5,1.543103448,0.688224138,0.155172414,0.091370558,8.126666667,32.92666667,64.84,90.74233055
Anderson,Fall 2020,Forage,104,Grazed,1,177.8,3.065517241,1.36722069,6.6,0.113793103,0.050751724,2.951724138,0.96287964,6.15,36.11333333,74.57333333,75.8020366
Anderson,Fall 2020,Forage,105,Grazed,1,188.5,3.25,1.4495,30.3,0.522413793,0.232996552,2.727586207,0.839257294,5.1,38.70666667,74.53666667,73.31806727
Anderson,Fall 2020,Forage,106,Grazed,1,217.7,3.753448276,1.674037931,14,0.24137931,0.107655172,3.512068966,0.935691318,5.51,35.62333333,71.10333333,80.00072828
Anderson,Fall 2020,Forage,201,Enclosed,2,145.2,2.503448276,1.116537931,78.9,1.360344828,0.606713793,1.143103448,0.45661157,8.44,36.51666667,69.32666667,81.11716914
Anderson,Fall 2020,Forage,202,Enclosed,2,127.9,2.205172414,0.983506897,87.2,1.503448276,0.670537931,0.701724138,0.318217357,7.48,36.17666667,70.28,80.36740303
Anderson,Fall 2020,Forage,203,Enclosed,2,202.5,3.49137931,1.557155172,73.1,1.260344828,0.562113793,2.231034483,0.639012346,4.893333333,39.43333333,78.01666667,69.37269417
Anderson,Fall 2020,Forage,204,Grazed,2,130.2,2.244827586,1.001193103,15.9,0.274137931,0.122265517,1.970689655,0.877880184,7.543333333,34.53333333,67.53333333,85.39938933
Anderson,Fall 2020,Forage,205,Grazed,2,142.6,2.45862069,1.096544828,3.9,0.067241379,0.029989655,2.39137931,0.972650771,6.456666667,33.59666667,67.98666667,85.82831563
Anderson,Fall 2020,Forage,206,Grazed,2,117.1,2.018965517,0.900458621,5.4,0.093103448,0.041524138,1.925862069,0.953885568,5.07,42.26666667,78.31666667,66.4853185
Anderson,Fall 2020,Forage,301,Enclosed,3,181.4,3.127586207,1.394903448,124.6,2.148275862,0.958131034,0.979310345,0.313120176,6.206666667,37.26,73.89333333,75.37509756
Anderson,Fall 2020,Forage,302,Enclosed,3,146,2.517241379,1.122689655,137.6,2.372413793,1.058096552,0.144827586,0.057534247,4.103333333,42.38666667,80.03333333,64.95059617
Anderson,Fall 2020,Forage,303,Enclosed,3,135.4,2.334482759,1.04117931,78.4,1.351724138,0.602868966,0.982758621,0.420974889,6.67,38.30333333,70.98666667,77.39639282
Anderson,Fall 2020,Forage,304,Grazed,3,117.2,2.020689655,0.901227586,12.2,0.210344828,0.093813793,1.810344828,0.895904437,6.566666667,37.92,71.71,77.00307116
Anderson,Fall 2020,Forage,305,Grazed,3,98.7,1.701724138,0.758968966,15.9,0.274137931,0.122265517,1.427586207,0.838905775,6.56,39.84,76.69333333,70.18546431
Anderson,Fall 2020,Forage,306,Grazed,3,117.3,2.022413793,0.901996552,6.1,0.105172414,0.046906897,1.917241379,0.94799659,7.196666667,35.28666667,69.19333333,82.56163945
Honken,Fall 2020,Forage,101,Enclosed,1,225.9,3.894827586,1.737093103,NA,NA,NA,NA,NA,0.8,49.34666667,90.17333333,52.05369848
Honken,Fall 2020,Forage,102,Enclosed,1,283.3,4.884482759,2.17847931,NA,NA,NA,NA,NA,1.333333333,47.88666667,86.18666667,55.68906142
Honken,Fall 2020,Forage,103,Enclosed,1,189.7,3.270689655,1.458727586,NA,NA,NA,NA,NA,2.913333333,45.51,82.83,60.02511167
Honken,Fall 2020,Forage,104,Grazed,1,186.6,3.217241379,1.434889655,NA,NA,NA,NA,NA,2.593333333,46.7,83.54333333,58.48038756
